Ngo Name,Mobile No,Email,City
PRERANA,9437195023,prerana.orissa@gmail.com,"6301-41, BOLANGIR, ORISSA"
ARPAN,9933210768,arpanpb@gmail.com,"1316, Port Blair, ANDAMAN & NICOBAR ISLANDS"
Pragya Network Educational Society,9871249262,pnes.delhi@yahoo.com,"S-52559, Narela, DELHI"
Save Help and Develop S H A D E,9612164255,shade.mizoram@gmail.com,"S.R. - 77/97/MZ-RFS of 1997, Aizawl, MIZORAM"
CECOEDECON,9829059202,cecoedecon@gmail.com,"206, Jaipur, RAJASTHAN"
ODAM,9443382475,odamindia@gmail.com,"43/1995, TIRUCHULI, TAMIL NADU"
OPEN EDUCATIONAL DEVELOPMENT RESEARCH AND WELFARE,9816510096,shrisaisnr@gmail.com,"126/2004, SUNDERNAGAR, HIMACHAL PRADESH"
Centre for Advanced Research and Development,9425013029,card_vivek@yahoo.com,"25634, Bhopal, MADHYA PRADESH"
Srijan Mahila Vikas Manch,9204645161,secretary_smvm@yahoo.co.in,"833, Chakradharpur, JHARKHAND"
J and K Sai Star Society,9419107550,amarjit.randwal@gmail.com,"4680-S, Jammu, JAMMU & KASHMIR"
Society for Sustainable Development,9414683683,jindal1965@gmail.com,"07/94-95, Karauli, RAJASTHAN"
Lok Seva kendra,9934125278,lskendrachaibasa@gmail.com,"1062, Chaibasa, JHARKHAND"
UDAAN Society,9837067681,mail@udaansociety.org,"2243, Aligarh, UTTAR PRADESH"
VIDYAVARDHINI EDUCATION CHARITABLE TRUST,9870001444,praprac2@gmail.com,"E-23638, Mumbai, MAHARASHTRA"
HelpAge India,9810042046,mathew.cherian@helpageindia.org,"9270, New Delhi, DELHI"
madhayam samajik sanstha,9336669096,hemamadhayam@gmail.com,"2137, lucknow, UTTAR PRADESH"
Beneshwer Lok Vikas Sansthan,9413306201,uyatin@gmail.com,"519, Partapur, RAJASTHAN"
DEVELOPMENT RESOURCE CENTRE,9040193050,drcorg2006@gmail.com,"6595-04 of 2006-07, PURI, ORISSA"
Krushi Vikas Va Gramin Prashikshan Sanstha,8551919293,krushi.vikas@yahoo.com,"Mah-2410/buldana, Buldana, MAHARASHTRA"
Regenboog India Foundation,9994209507,ceo@regenboogindia.org,"1269/06, Tiruvannamalai, TAMIL NADU"
Gram Seva Trust,9968312658,gst_balaghat@yahoo.co.in,"02, Paraswada, MADHYA PRADESH"
Resource Development Centre,9868877762,asutosh.satpathy@gmail.com,"S34716, Bhubaneswar, ORISSA"
